f_unit_id,f_address_no,limit_mae,limit_deviation,f_model_date,sigma_lower,sigma_upper
134,KALTIM1.SIGNAL.AI.10HBK31CQ101,0.2335263958034911,1.8455862426757808,2022-05-09 08:20:04,2.576,2.576
134,KALTIM1.SIGNAL.AI.10HHL01CP101,0.09092192440173856,1.0294614410400391,2022-05-09 08:20:04,2.576,2.576
134,KALTIM1.SIGNAL.AI.10HHL10CP101,0.1806209096965932,0.4820462369634058,2022-05-09 08:20:04,2.576,2.576
134,KALTIM1.SIGNAL.AI.10HLA30CP102,,,2022-05-09 08:20:04,2.576,2.576
134,KALTIM1.SIGNAL.AI.10HNA10AA102XQ12,0.014972561129884054,0.0406195068359375,2022-05-09 08:20:04,2.576,2.576
134,KALTIM1.SIGNAL.AI.10HNA20AA102XQ12,0.01565768927269289,1.238660095214842,2022-05-09 08:20:04,2.576,2.576
134,KALTIM1.SIGNAL.AO.10HNA10AA102XQ11,,,2022-05-09 08:20:04,2.576,2.576
134,KALTIM1.SIGNAL.AO.10HNA20AA102XQ11,,,2022-05-09 08:20:04,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HHL01CT101,1.2972338448660006,15.66083740234375,2022-05-09 08:20:04,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HHL10CT101,2.2605685478426727,13.012286987304687,2022-05-09 08:20:04,2.576,2.576
134,KALTIM1.SIGNAL.TC.10HBK31CT105,2.484451460105313,8.252637023925782,2022-05-09 08:20:04,2.576,2.576
134,KALTIM1.SIGNAL.TC.10HBK31CT106,0.6304353359451947,8.367668090820313,2022-05-09 08:20:04,2.576,2.576
134,KALTIM1.SIGNAL.TC.10HBK41CT105,2.3433230172493458,11.2767998046875,2022-05-09 08:20:04,2.576,2.576
134,KALTIM1.SIGNAL.TC.10HBK41CT106,2.682979889036352,11.547945190429688,2022-05-09 08:20:04,2.576,2.576
134,KALTIM1.SIGNAL.AI.10HLA10CP101,0.057524724582068025,1.0962653923034669,2022-05-09 08:20:03,2.576,2.576
134,KALTIM1.SIGNAL.AI.10HLA10CP102,,,2022-05-09 08:20:04,2.576,2.576
134,KALTIM1.SIGNAL.AI.10HLB10AA101XQ12,1.134972830777112,6.581872146606445,2022-05-09 08:20:03,2.576,2.576
134,KALTIM1.SIGNAL.AI.10HLB10AN001XQ01,1.340061429125311,8.517188720703125,2022-05-09 08:20:03,2.576,2.576
134,KALTIM1.SIGNAL.AI.10HLB10CY101,0.042561115332064366,0.09792323112487793,2022-05-09 08:20:03,2.576,2.576
134,KALTIM1.SIGNAL.AI.10HLB10CY102,0.06482906427313402,0.1140178424613846,2022-05-09 08:20:03,2.576,2.576
134,KALTIM1.SIGNAL.AO.10HLB10AA101XQ11,0.7396319664219554,6.400000038146973,2022-05-09 08:20:03,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HLB10CT101,0.10551339927347007,0.9959300231933594,2022-05-09 08:20:03,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HLB10CT102,0.13624665047134266,1.331443450927735,2022-05-09 08:20:03,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HLB10CT103,0.4559374215967824,1.5949279785156243,2022-05-09 08:20:03,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HLB10CT104,0.4331631028019255,1.3274438476562511,2022-05-09 08:20:03,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HLB10CT105,0.3761586091001883,1.7383938598632802,2022-05-09 08:20:03,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HLB10CT106,0.19985046601111467,1.713121337890625,2022-05-09 08:20:03,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HLB10CT107,0.4878716759571872,1.726926345825195,2022-05-09 08:20:03,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HLB10CT108,0.3814030664963465,1.66936279296875,2022-05-09 08:20:03,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HLB10CT109,0.4324465808367109,1.85518310546875,2022-05-09 08:20:03,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HLB10CT110,0.3693337786425662,2.0091605834960937,2022-05-09 08:20:03,2.576,2.576
134,KALTIM1.SIGNAL.AI.10HLA20CP101,0.07306152549445663,1.093076305389404,2022-05-09 08:20:05,2.576,2.576
134,KALTIM1.SIGNAL.AI.10HLB20AA101XQ12,1.6352344198769446,6.621988105773926,2022-05-09 08:20:05,2.576,2.576
134,KALTIM1.SIGNAL.AI.10HLB20AN001XQ01,0.5417091760966484,6.598441677093506,2022-05-09 08:20:05,2.576,2.576
134,KALTIM1.SIGNAL.AI.10HLB20CY101,0.21601435537152092,0.3007765556621597,2022-05-09 08:20:05,2.576,2.576
134,KALTIM1.SIGNAL.AI.10HLB20CY102,0.06870932996744829,0.13677697896957394,2022-05-09 08:20:05,2.576,2.576
134,KALTIM1.SIGNAL.AO.10HLB20AA101XQ11,0.780492296932739,6.624,2022-05-09 08:20:05,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HLB20CT101,0.2275210861685329,3.284306526184082,2022-05-09 08:20:05,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HLB20CT102,0.12477905140276295,1.2072615966796878,2022-05-09 08:20:06,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HLB20CT103,0.3824648224511042,1.4681341552734368,2022-05-09 08:20:06,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HLB20CT104,0.2346724471519493,1.1527316284179694,2022-05-09 08:20:05,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HLB20CT105,0.3995382726076244,2.1399014282226565,2022-05-09 08:20:05,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HLB20CT106,0.2514656968832853,1.8795864868164065,2022-05-09 08:20:05,2.576,2.576
134,KALTIM1.SIGNAL.RTD.10HLB20CT107,0.27396541645212197,1.9985531616210936,2022-05-09 08:20:05,2.576,2.576
