f_unit_id,f_address_no,limit_deviation,limit_mae,f_model_date,sigma_lower,sigma_upper
124.0,10HLA11CT301.DROP2/52.UNIT1@NET2,5.0067774060120085,,2023-05-04 03:05:34,2.576,2.576
124.0,10HLA12CT301.DROP2/52.UNIT1@NET2,4.504413485436579,,2023-05-04 03:07:00,2.576,2.576
124.0,10HLA21CT301.DROP2/52.UNIT1@NET2,6.531259434092648,,2023-05-04 03:07:50,2.576,2.576
124.0,10HLA22CT301.DROP2/52.UNIT1@NET2,7.9032729673308255,,2023-05-04 03:09:14,2.576,2.576
124.0,10HNA10CP109.DROP2/52.UNIT1@NET2,0.0891880638352217,,2023-05-01 02:30:36,2.576,2.576
124.0,10HNA10CP110.DROP2/52.UNIT1@NET2,0.0866191645205347,,2023-05-01 02:31:18,2.576,2.576
124.0,10HNA10CP111.DROP2/52.UNIT1@NET2,0.103558859394736,,2023-05-01 02:31:48,2.576,2.576
124.0,10HNA10CP112.DROP2/52.UNIT1@NET2,0.103932219258274,,2023-05-01 02:32:30,2.576,2.576
124.0,10HNA10CT301.DROP2/52.UNIT1@NET2,4.595298658452776,,2023-05-01 02:33:00,2.576,2.576
124.0,10HNA10CT302.DROP2/52.UNIT1@NET2,4.021470474047776,,2023-05-01 02:33:42,2.576,2.576
124.0,10HNA10CT303.DROP2/52.UNIT1@NET2,6.286023257867362,,2023-05-01 02:34:10,2.576,2.576
124.0,10HNA10CT304.DROP2/52.UNIT1@NET2,7.481798538347206,,2023-05-01 02:34:38,2.576,2.576
124.0,19HLA11CT301,4.856940444253558,,2023-05-01 02:35:22,2.576,2.576
124.0,19HLA12CT301,4.40526925110339,,2023-05-01 02:36:04,2.576,2.576
124.0,10HLE10AA110ZT.DROP2/52.UNIT1@NET2,0.056144313774972,,2023-05-01 04:29:18,4.0,4.0
124.0,10HLE10AA111ZT.DROP2/52.UNIT1@NET2,0.7404215928937917,,2023-05-01 04:30:42,4.0,4.0
124.0,10HLE10AA112ZT.DROP2/52.UNIT1@NET2,7.887230621403111,,2023-05-01 04:32:06,4.0,4.0
124.0,10HLE10AN010CE.DROP2/52.UNIT1@NET2,0.0055479808251191,,2023-05-01 04:33:30,2.576,2.576
124.0,10HLE10CF101C.DROP2/52.UNIT1@NET2,49.63075812820775,,2023-05-01 04:34:30,2.576,2.576
124.0,10HLE10CF102C.DROP2/52.UNIT1@NET2,27.34895708839785,,2023-05-01 04:35:32,2.576,2.576
124.0,10HLE10CP101.DROP2/52.UNIT1@NET2,0.4695113477077651,,2023-05-01 04:36:56,2.576,2.576
124.0,10HLE10CT301.DROP2/52.UNIT1@NET2,2.2742147087749007,,2023-05-01 04:37:56,2.576,2.576
124.0,10HLE10AN011CE.DROP2/52.UNIT1@NET2,1.18699480349959,,2023-05-01 23:17:22,2.576,2.576
124.0,10HNC10AA110ZT.DROP2/52.UNIT1@NET2,9.639477841795909,,2023-05-04 18:20:20,4.0,4.0
124.0,10HNC10AN010CE.DROP2/52.UNIT1@NET2,2.9331154894113523,,2023-05-04 18:21:04,2.576,2.576
124.0,10HNC10CP101.DROP2/52.UNIT1@NET2,0.00137925805681287,,2023-05-04 18:22:28,2.576,2.576
124.0,10HNY01CS101.DROP2/52.UNIT1@NET2,102.81053744844162,,2023-05-04 18:23:50,2.576,2.576
124.0,10HNY01CT301.DROP2/52.UNIT1@NET2,1.6506588028743667,,2023-05-04 18:25:14,2.576,2.576
124.0,10HNY01CT302.DROP2/52.UNIT1@NET2,2.351305346550664,,2023-05-04 18:26:38,2.576,2.576
124.0,10HNY01CT303.DROP2/52.UNIT1@NET2,1.5814729328623616,,2023-05-04 18:27:24,2.576,2.576
124.0,10HNY01CT304.DROP2/52.UNIT1@NET2,1.968014780104436,,2023-05-04 18:28:10,2.576,2.576
124.0,10HNY01CT305.DROP2/52.UNIT1@NET2,4.567930391105016,,2023-05-04 18:29:34,2.576,2.576
124.0,10HNY01CT306.DROP2/52.UNIT1@NET2,4.696472300392987,,2023-05-04 18:30:22,2.576,2.576
124.0,10HNY01CT307.DROP2/52.UNIT1@NET2,37.333140231410226,,2023-05-04 18:31:44,2.576,2.576
124.0,10HNY01CY01.DROP2/52.UNIT1@NET2,0.2014943033150358,,2023-05-04 18:33:10,2.576,5.0
124.0,10HNY01CY02.DROP2/52.UNIT1@NET2,0.07457122627083715,,2023-05-04 18:34:34,2.576,2.576
124.0,10HNY01CY03.DROP2/52.UNIT1@NET2,0.16875390353756398,,2023-05-04 18:35:58,2.576,2.576
124.0,10HNY01CY04.DROP2/52.UNIT1@NET2,0.2071610764164481,,2023-05-04 18:36:46,2.576,2.576
124.0,10HNC10AA111ZT.DROP2/52.UNIT1@NET2,11.18286579767086,,2023-05-01 02:52:32,4.0,4.0
124.0,10HNC10CP102.DROP2/52.UNIT1@NET2,0.7191967107993059,,2023-05-01 02:53:32,2.576,2.576
124.0,10HNC20AN011CE.DROP2/52.UNIT1@NET2,2.988744373378484,,2023-05-01 02:54:32,2.576,2.576
124.0,10HNY02CS101.DROP2/52.UNIT1@NET2,122.76752915640705,,2023-05-01 02:55:32,2.576,2.576
124.0,10HNY02CT301.DROP2/52.UNIT1@NET2,2.2416922853493704,,2023-05-01 02:56:56,2.576,2.576
124.0,10HNY02CT302.DROP2/52.UNIT1@NET2,1.8948818608028293,,2023-05-01 02:57:56,2.576,2.576
124.0,10HNY02CT303.DROP2/52.UNIT1@NET2,2.729558871793305,,2023-05-01 02:58:56,2.576,2.576
124.0,10HNY02CT304.DROP2/52.UNIT1@NET2,9.673970565039989,,2023-05-01 02:59:56,2.576,2.576
124.0,10HNY02CT305.DROP2/52.UNIT1@NET2,5.232580887078983,,2023-05-01 03:00:58,2.576,2.576
124.0,10HNY02CT306.DROP2/52.UNIT1@NET2,5.66440007715422,,2023-05-01 03:02:20,2.576,2.576
124.0,10HNY02CT307.DROP2/52.UNIT1@NET2,5.701473242448658,,2023-05-01 03:03:24,2.576,2.576
